Продукт,Старая цена,Новая цена,Процент скидки,Время скидки
"Батончики РОТ ФРОНТ, цена за 100 г",50.00,32.99,−34%,с 13 апреля до 19 апреля
"Активиа БЗМЖ Биойогурт лен/черный/5злаков 2,9%, 130г",45.20,32.99,−27%,с 13 апреля до 19 апреля
"Батончик шоколадный МИЛКА арахис и воздушный рис, 37г",52.68,34.99,−34%,с 07 апреля до 04 мая
"Батончик шоколадный МИЛКА с кусочками Орео, 37г",52.68,34.99,−34%,с 07 апреля до 04 мая
"Хлебцы ФИТНЕСЛАЙН Витамин плюс, 100г",46.21,34.99,−24%,с 07 апреля до 04 мая
"Активиа БЗМЖ Биойогурт лен/черн/5злаков 2,9%,  130г",45.00,35.99,−20%,с 13 апреля до 19 апреля
"Батончик АГУША яблоко-банан, 15г",46.99,36.99,−21%,с 13 апреля до 03 мая
"Батончик АГУША яблоко-ежевика-малина, 15г",46.99,36.99,−21%,с 13 апреля до 03 мая
"Батончик АГУША яблоко-ежевика-малина, 15г",46.99,36.99,−21%,с 13 апреля до 03 мая
"Батончик АГУША яблоко-банан, 15г",46.99,36.99,−21%,с 13 апреля до 03 мая
"Конфеты МАСКА (Рот-Фронт), 100г",66.788,37.99,−43%,с 07 апреля до 04 мая
"Конфеты МАСКА (Рот-Фронт), 100г",67.72,37.99,−44%,с 07 апреля до 04 мая
"Сервелат РОССИЙСКИЙ, (ОМПК), 1кг",634.9,397.9,−37%,с 13 апреля до 26 апреля
"Конфеты ЗОЛОТОЙ СТЕП, Арахис-фундук-карамель (Славянка), 1кг",49.99,39.99,−20%,с 07 апреля до 04 мая
"Конфеты ЗОЛОТОЙ СТЕП, Арахис-фундук-карамель (Славянка), 1кг",54.69,39.99,−27%,с 07 апреля до 04 мая
"Пряник ТУЛЬСКИЙ, с фруктовой начинкой, 140г",57.27,39.99,−30%,с 07 апреля до 04 мая
"Пряник ТУЛЬСКИЙ, с фруктовой начинкой, 140г",58.79,39.99,−32%,с 07 апреля до 04 мая
"Пряник ТУЛЬСКИЙ со смородиновой начинкой, 140г",57.24,39.99,−30%,с 07 апреля до 04 мая
"ТУЛЬСКИЙ ПРЯНИК с вареной сгущенкой 1 штука (ТФ Ясная Поляна), 140г",58.79,39.99,−32%,с 07 апреля до 04 мая
"ТУЛЬСКИЙ ПРЯНИК с вареной сгущенкой 1 штука (ТФ Ясная Поляна), 140г",57.22,39.99,−30%,с 07 апреля до 04 мая
"ТУЛЬСКИЙ ПРЯНИК с вареной сгущенкой 1 штука (ТФ Ясная Поляна), 140г",58.79,39.99,−32%,с 07 апреля до 04 мая
"Конфеты ЗОЛОТОЙ СТЕП, Арахис-фундук-карамель (Славянка), 1кг",49.99,39.99,−20%,с 07 апреля до 04 мая
"Батончик НЕСТЛЕ ФИТНЕС, цельные злаки с шоколадом, 23,5г",50.00,39.99,−20%,с 13 апреля до 19 апреля
"Батончик НЕСТЛЕ ФИТНЕС, злаки с клубникой, 23,5г",50.00,39.99,−20%,с 13 апреля до 19 апреля
"Пряник ТУЛЬСКИЙ, с фруктовой начинкой, 140г",58.79,39.99,−32%,с 07 апреля до 04 мая
"Батончик НЕСТЛЕ ФИТНЕС, злаки с клубникой, 23,5г",47.00,39.99,−15%,с 13 апреля до 19 апреля
"Шоколад АЛЬПЕН ГОЛЬД, молочный, 90г",82.70,42.99,−48%,с 13 апреля до 19 апреля
"Напиток АГУША, Яблоко, 300мл",57.99,42.99,−26%,с 07 апреля до 04 мая
"Напиток АГУША, Ягоды садовые, 300мл",57.99,42.99,−26%,с 07 апреля до 04 мая
"Напиток АГУША, Ягоды садовые, 300мл",57.99,42.99,−26%,с 07 апреля до 04 мая
"Напиток АГУША, Яблоко, 300мл",57.99,42.99,−26%,с 07 апреля до 04 мая
"Напиток АГУША, Яблоко, 300мл",57.99,42.99,−26%,с 07 апреля до 04 мая
"Шоколад ALPEN GOLD молочный, 85г",84.30,42.99,−49%,с 13 апреля до 19 апреля
"Напиток АГУША, Ягоды садовые, 300мл",57.99,42.99,−26%,с 07 апреля до 04 мая
"Йогурт АГУША Я сам Клубника-земляника 2,2%, 180г",50.99,42.99,−16%,с 07 апреля до 04 мая
"Подлива МАГГИ®, Домашняя мясная, 90г",53.99,43.99,−19%,с 07 апреля до 04 мая
"Батончик ПИКНИК арахис-изюм-вафля-воздушный рис, 76г",64.99,44.99,−31%,с 07 апреля до 04 мая
"Батончик ПИКНИК арахис-изюм-вафля-воздушный рис, 76г",63.99,44.99,−30%,с 07 апреля до 04 мая
"Конфеты АККОНД Отломи с арахисовой начинкой, 1кг",64.99,44.99,−31%,с 07 апреля до 04 мая
"Напиток газированный ФАНТОЛА Бабл гам, 500мл",74.99,44.99,−40%,с 07 апреля до 04 мая
"Печенье КОГДА Я ВЫРАСТУ кальций, 150г",54.99,44.99,−18%,с 07 апреля до 04 мая
"Вода питьевая ЛЕГЕНДА ГОР АРХЫЗ, природная, 1,5л",62.70,46.99,−25%,с 13 апреля до 19 апреля
"Вода минеральная ЛЕГЕНДА ГОР АРХЫЗ, газированная, природная, 1,5л",62.70,46.99,−25%,с 13 апреля до 19 апреля
"Вода питьевая ЛЕГЕНДА ГОР АРХЫЗ, природная, 1,5л",62.70,46.99,−25%,с 13 апреля до 19 апреля
"Вода минеральная ЛЕГЕНДА ГОР АРХЫЗ, газированная, природная, 1,5л",62.70,46.99,−25%,с 13 апреля до 19 апреля
"Йогурт MIOCREMA питьевой груша-ваниль 1,5%, 250г",56.99,47.99,−16%,с 07 апреля до 04 мая
"Ромовая баба Б.Ю.АЛЕКСАНДРОВ с изюмом в белом шоколаде, 40г",56.99,47.99,−16%,с 07 апреля до 04 мая
"Йогурт MIOCREMA питьевой манго-киви 1,5%, 250г",56.99,47.99,−16%,с 07 апреля до 04 мая
"Ромовая баба Б.Ю.АЛЕКСАНДРОВ с изюмом в белом шоколаде, 40г",56.99,47.99,−16%,с 07 апреля до 04 мая
